    conteudo.puzzle_game.xǁPuzzleGameǁ__generate_list_of_tiles____mutmut_3: survived
    conteudo.puzzle_game.xǁPuzzleGameǁ__generate_list_of_tiles____mutmut_12: survived
    conteudo.puzzle_game.xǁPuzzleGameǁ__put_tiles_in_the_board____mutmut_13: survived
    conteudo.puzzle_game.xǁPuzzleGameǁ__put_tiles_in_the_board____mutmut_25: survived
    conteudo.puzzle_game.xǁPuzzleGameǁ__put_tiles_in_the_board____mutmut_26: survived
    conteudo.puzzle_game.xǁPuzzleGameǁ__put_tiles_in_the_board____mutmut_27: survived
    conteudo.puzzle_game.xǁPuzzleGameǁ__put_tiles_in_dic_positions____mutmut_20: survived
    conteudo.puzzle_game.xǁPuzzleGameǁ__put_tiles_in_dic_positions____mutmut_21: survived
    conteudo.puzzle_game.xǁPuzzleGameǁshuffle__mutmut_1: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁmove_tile_from_a_position_to_the_empty_position__mutmut_1: survived
    conteudo.puzzle_game.xǁPuzzleGameǁmove_tile_from_a_position_to_the_empty_position__mutmut_14: survived
    conteudo.puzzle_game.xǁPuzzleGameǁmove_tile_from_a_position_to_the_empty_position__mutmut_19: survived
    conteudo.puzzle_game.xǁPuzzleGameǁmove_tile_from_a_position_to_the_empty_position__mutmut_33: survived
    conteudo.puzzle_game.xǁPuzzleGameǁmove_tile_from_a_position_to_the_empty_position__mutmut_34: survived
    conteudo.puzzle_game.xǁPuzzleGameǁmove_tile__mutmut_3: survived
    conteudo.puzzle_game.xǁPuzzleGameǁmove_tile__mutmut_20: survived
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_1: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_2: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_3: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_4: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_5: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_6: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_7: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_8: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_9: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_10: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_11: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_12: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_13: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_14: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_15: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_16: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_17: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_18: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_19: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_20: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_21: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_22: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_23: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_24: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_25: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_down____mutmut_26: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_1: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_2: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_3: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_4: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_5: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_6: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_7: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_8: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_9: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_10: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_11: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_12: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_13: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_14: no tests
